,UMAP1,UMAP2
143,15.891851,-7.306928
144,15.969283,-7.2525177
145,15.970758,-7.2524343
146,16.007671,-7.23416
147,16.07653,-7.1911097
148,16.124454,-7.1607327
149,16.159266,-7.1392126
150,16.187372,-7.1210876
151,16.250883,-7.080469
152,16.331738,-7.0249853
153,16.354027,-7.0137305
154,16.415356,-6.9748893
155,16.437323,-6.9606757
156,16.52513,-6.9031687
157,16.543547,-6.8916373
158,16.597647,-6.8571
159,16.672707,-6.8083897
160,16.70196,-6.789202
161,16.727074,-6.77301
162,16.831715,-6.7052836
163,16.858763,-6.6854877
164,16.94007,-6.6328397
165,17.020283,-6.5783978
166,17.087736,-6.532312
167,17.094799,-6.536975
168,17.17232,-6.470263
169,17.241533,-6.429276
170,17.27066,-6.4135213
171,17.340048,-6.361994
172,17.35763,-6.354604
173,17.41546,-6.3134
174,17.50801,-6.243985
175,17.49914,-6.254727
176,17.529428,-6.2380257
177,17.572361,-6.2066574
178,17.601597,-6.1876855
179,17.613441,-6.171634
180,17.704405,-6.1200347
181,17.766928,-6.072869
182,17.79751,-6.0593534
183,17.817156,-6.044677
184,17.878963,-6.000898
185,17.905855,-5.9849434
186,17.918789,-5.976038
187,18.012432,-5.9130163
188,18.033533,-5.89884
189,18.094524,-5.857769
190,18.112617,-5.8455267
191,18.156036,-5.8166685
192,18.189188,-5.793704
193,18.231766,-5.7640724
194,18.270351,-5.7456336
195,18.329765,-5.7000394
196,18.377224,-5.668304
197,18.381104,-5.665458
198,18.436556,-5.6280303
199,18.469461,-5.6054444
200,18.498161,-5.5855455
201,18.60592,-5.507563
202,18.62053,-5.4997463
203,18.657234,-5.475532
204,18.712925,-5.4369535
205,18.719147,-5.4333053
206,18.781147,-5.388907
207,18.829502,-5.354198
208,18.865595,-5.328122
209,18.855364,-5.335639
210,18.89944,-5.304433
211,18.999275,-5.2287006
212,19.017258,-5.218773
213,19.06091,-5.182045
214,19.148281,-5.1208606
215,19.144306,-5.12662
216,19.185839,-5.0957785
217,19.228567,-5.0638175
218,19.244549,-5.0533795
219,19.259024,-5.0457883
220,19.350471,-4.97583
221,19.385008,-4.949172
222,19.418499,-4.9259458
223,19.42726,-4.9197435
224,19.492228,-4.8708096
225,19.47727,-4.885704
226,19.50682,-4.8611736
227,19.571274,-4.8116817
228,19.59893,-4.7932734
229,19.636871,-4.7646976
230,19.64502,-4.760433
231,19.760498,-4.6741624
232,19.77794,-4.6605463
233,19.796356,-4.6486535
234,19.81343,-4.6340427
235,19.850359,-4.605983
236,19.92865,-4.544103
237,19.931482,-4.5424814
238,19.941727,-4.5350003
239,19.998318,-4.489871
240,20.038773,-4.458709
241,20.051027,-4.4491463
242,20.126678,-4.388262
243,20.134995,-4.38258
244,20.161303,-4.3614035
245,20.167305,-4.357866
246,20.219765,-4.316535
247,20.279007,-4.2646165
248,20.32282,-4.2289624
249,20.376139,-4.183721
250,20.379559,-4.1815267
251,20.441547,-4.1277585
252,20.483839,-4.0919733
253,20.533154,-4.046605
254,20.561556,-4.023646
255,20.54126,-4.044945
256,20.638128,-3.9556465
257,20.665457,-3.9308183
258,20.749905,-3.8523657
259,20.815872,-3.79136
260,20.838945,-3.7703645
261,20.893976,-3.7177238
262,20.957397,-3.657837
263,20.975101,-3.6405323
264,21.018816,-3.5984552
265,21.04187,-3.576503
266,21.100206,-3.5180702
267,21.150507,-3.467781
268,21.202099,-3.4152887
269,21.245045,-3.3723605
270,21.293293,-3.3211002
271,21.309286,-3.304011
272,21.32503,-3.2872298
273,21.361708,-3.2494688
274,21.404602,-3.2010922
275,21.426779,-3.1761694
276,21.432013,-3.170607
277,21.456497,-3.1424136
278,21.501291,-3.0931876
279,21.527674,-3.0629475
280,21.555529,-3.024434
281,21.591724,-2.9815216
282,21.636297,-2.9325814
283,21.65074,-2.9151137
284,21.674686,-2.8846772
285,21.726961,-2.8156078
286,21.702038,-2.8455677
287,21.760717,-2.7706048
288,21.763826,-2.7679787
289,21.792032,-2.7298307
290,21.835758,-2.668768
291,21.83967,-2.6629448
292,21.88137,-2.605927
293,21.870102,-2.6155186
294,21.909079,-2.5629406
295,21.936691,-2.5248318
296,21.974598,-2.4664629
297,21.99447,-2.441148
298,22.024355,-2.4017797
299,22.041819,-2.3627214
300,22.051527,-2.3487809
301,22.088278,-2.2875774
302,22.112612,-2.2454774
303,22.14151,-2.196103
304,22.151926,-2.1654723
305,22.190048,-2.104296
306,22.205048,-2.0711355
307,22.218147,-2.0452733
308,22.245787,-2.012109
309,22.284504,-1.9243376
310,22.269068,-1.9387802
311,22.2887,-1.8872501
312,22.302126,-1.8693256
313,22.306368,-1.8336945
314,22.314243,-1.8162236
315,22.326715,-1.7677283
316,22.329418,-1.7576244
317,22.345234,-1.698383
318,22.34754,-1.6876919
319,22.366642,-1.6198364
320,22.37238,-1.6015378
321,22.386232,-1.5393928
322,22.388361,-1.5216151
323,22.388994,-1.5146657
324,22.405287,-1.4678317
325,22.402042,-1.4423257
326,22.418861,-1.3736256
327,22.420069,-1.3426443
328,22.426998,-1.3359056
329,22.433022,-1.3032136
330,22.438581,-1.2799903
331,22.457693,-1.2126998
332,22.452995,-1.2042688
333,22.455992,-1.1799905
