index,SMILES,lambdamax,Tt,Ts,E0t,E0s,Ered,Eox,*Eredt,*Ereds,*Eoxt,*Eoxs,Name,Unnamed: 14,Unnamed: 15
59,FC(C(C=C1)=CC=C1N2C(N=C(C=CC=C3)C3=N4)=C4N(C5=CC=C(C(F)(F)F)C=C5)C6=C2C=CC=C6)(F)F,408.0,,,2.15,2.55,,0.76,,,-1.56,-1.79,,,
60,C1(N2C(C=CC=C3)=C3C4=C2C=CC=C4)=CC(N5C(C=CC=C6)=C6C7=C5C=CC=C7)=CC=C1,,,,,,-2.71,1.32,,,,,mCP,,
61,C1(C2=CC=C(N3C4=C(C5=C3C=CC=C5)C=CC=C4)C=C2)=CC=C(N6C7=C(C8=C6C=CC=C8)C=CC=C7)C=C1,,,,,,-2.4,1.25,,,,,CBP,,
62,C1(N2C3=C(C=CC=C3)C4=C2C=CC=C4)=CC(C5=CC=CC(N6C7=C(C=CC=C7)C8=C6C=CC=C8)=C5)=CC=C1,,,,,,,1.29,,,,,mCBP,,
63,N(C1=CC=C(N2C3=C(C4=C2C=CC=C4)C=CC=C3)C=C1)(C5=CC=C(N6C7=C(C8=C6C=CC=C8)C=CC=C7)C=C5)C9=CC=C(N%10C%11=C(C%12=C%10C=CC=C%12)C=CC=C%11)C=C9,,,,,,,0.88,,,,,TCTA,,
64,N1(C2=CC=CC=C2)C3=C(C4=C1C=CC=C4)C=C(C5=CC6=C(C=C5)N(C7=CC=CC=C7)C8=C6C=C(C9=CC%10=C(C=C9)N(C%11=CC=CC=C%11)C%12=C%10C=CC=C%12)C=C8)C=C3,,,,,,-2.62,0.85,,,,,Tris-Pcz,,
65,O=C(C1=CC=C(C(O)=O)C=C1)O,,,,,,,0.93,,,,,TPA,,
66,CCCOP(OCCC)(OP(OCCC)(OCCC)=S)=S,,,,,,,0.69,,,,,NPD,,
67,CC1=CC(N(C2=CC=C(N(C3=CC=C(N(C4=CC=CC(C)=C4)C5=CC=CC=C5)C=C3)C6=CC=C(N(C7=CC=CC(C)=C7)C8=CC=CC=C8)C=C6)C=C2)C9=CC=CC=C9)=CC=C1,,,,,,,0.28,,,,,m-MTDATA,,
68,CC(C=C1)=CC=C1N(C2=CC=C(C)C=C2)C(C=C3)=CC=C3C4(C5=CC=C(N(C6=CC=C(C)C=C6)C7=CC=C(C)C=C7)C=C5)CCCCC4,,,,,,,0.71,,,,,TAPC,,
69,N#CC1=NC2=C3N=C(C#N)C(C#N)=NC3=C4N=C(C#N)C(C#N)=NC4=C2N=C1C#N,,,,,,-0.14,,,,,,HAT-CN,,
70,CC(C1=CC=C(C2=NN=C(C3=CC=C(C4=CC=CC=C4)C=C3)N2C5=CC=CC=C5)C=C1)(C)C,,,,,,-2.3,1.63,,,,,TAZ,,
71,BrC1=C(O)C(C)=CC(/C(C2=CC=CC=C2S([O-])(=O)=O)=C(C=C(C)C3=O)\C=C3Br)=C1.[Na+],,,,,,-2.03,1.69,,,,,BCP,,
72,C12=C(N=CC=C3C4=CC=CC=C4)C3=CC=C1C(C5=CC=CC=C5)=CC=N2,,,,,,-1.99,1.8,,,,,Bphen,,
73,C1(C2=CC(C3=CC=CC(C4=CC=CN=C4)=C3)=CC(C5=CC=CC(C6=CC=CN=C6)=C5)=C2)=CC=CC(C7=CC=CN=C7)=C1,,,,,,-2.39,1.86,,,,,TmPyPB,,
74,O=C(C(C=CC=C1)=C1C2=C3C=CC=C2)C3=O,,,,,,-0.66,2.13,,,,,"9, 10-PhQ",,
75,C1(C2=NC3=CC=CC=C3N2C4=CC=CC=C4)=CC(C5=NC6=CC=CC=C6N5C7=CC=CC=C7)=CC(C8=NC9=CC=CC=C9N8C%10=CC=CC=C%10)=C1,,,,,,-2.1,1.63,,,,,TPBi,,
76,O=P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3OC4=CC=CC=C4P(C5=CC=CC=C5)(C6=CC=CC=C6)=O,,,,,,-2.5,1.87,,,,,DPEPO,,
77,C1(C2=NC=C(C3=CC=CC=C3)C=C2)=NC(C4=CC=CC=C4)=CN=N1,,,,,,-2.2,1.86,,,,,PPT,,
78,O=C(O1)C2=C3C(C4=CC=C3C1=O)=C(C5=C6C4=CC=C(C7=O)C6=C(C(O7)=O)C=C5)C=C2,,,,,,-0.55,1.83,,,,,PTCDA,,
79,C1(N2C(C=CC=C3)=C3C4=C2C=CC=C4)=CC=C(C5=NC(C6=CC=CC=C6)=NC(C7=CC=CC=C7)=N5)C=C1,,,,,,,1.32,,,,,CZ-TRZ,,
80,C1(N2C(C=CC=C3)=C3C4=C2C=CC(C5=CC=C(N(C6=CC=CC=C6)C7=C8C=CC=C7)C8=C5)=C4)=CC=C(C9=NC(C%10=CC=CC=C%10)=NC(C%11=CC=CC=C%11)=N9)C=C1,,,,,,-1.67,0.96,,,,,BCZ-TRZ,,
81,C1(N2C(C=CC(N3C(C=CC=C4)=C4C5=C3C=CC=C5)=C6)=C6C7=C2C=CC(N8C(C=CC=C9)=C9C%10=C8C=CC=C%10)=C7)=CC=C(C%11=NC(C%12=CC=CC=C%12)=NC(C%13=CC=CC=C%13)=N%11)C=C1,,,,,,,1.13,,,,,3Cz-TRz,,
82,C1(N2C3=C(C=CC=C3)C4=C2C(N(C5=CC=CC=C5)C6=C7C=CC=C6)=C7C=C4)=NC(C8=CC=C(C9=CC=CC=C9)C=C8)=NC(N%10C%11=C(C=CC=C%11)C%12=C%10C=C(N(C%13=CC=CC=C%13)C%14=C%15C=CC=C%14)C%15=C%12)=N1,,,,,,-1.71,1.11,,,,,PIC-TRZ ,,
83,C1(N2C3=C(C=CC4=C3C5=C(C=CC=C5)N4C6=CC=CC=C6)C7=C2C=CC=C7)=NC(C8=CC=CC=C8)=NC(C9=CC=CC=C9)=N1,,,,,,,1.13,,,,,PIC-TRZ2,,
84,C12=CC=CC=C1N(C3=CC=C(C4=NC(C5=CC=CC=C5)=NC(C6=CC=CC=C6)=N4)C=C3)C7=C(C=CC=C7)O2,,,,,,-1.72,0.74,,,,,PXZ-TRZ,,
85,CC(C)(C)C1=CC2=C(C=C1)N(C3=CC=C(S(C4=CC=C(N5C(C=CC(C(C)(C)C)=C6)=C6C7=C5C=CC(C(C)(C)C)=C7)C=C4)(=O)=O)C=C3)C8=C2C=C(C(C)(C)C)C=C8.[2H][3H].[2H]C([P])=S,,,,,,-2.04,1.27,,,,,DTC-DPS,,
86,COC1=CC2=C(C=C1)N(C3=CC=C(S(C4=CC=C(N5C(C=CC(OC)=C6)=C6C7=C5C=CC(OC)=C7)C=C4)(=O)=O)C=C3)C8=C2C=C(OC)C=C8,,,,,,,1.01,,,,,DMOC-DPS,,
87,O=S(C1=CC=C(N(C2=C(C3(C)C)C=CC=C2)C4=C3C=CC=C4)C=C1)(C5=CC=C(N(C6=C7C=CC=C6)C8=C(C7(C)C)C=CC=C8)C=C5)=O,,,,,,-1.72,1.01,,,,,DMAC-DPS,,
88,O=S(C1=CC=C(N2C3=C(C=CC=C3)N(C4=CC=CC=C4)C5=C2C=CC=C5)C=C1)(C6=CC=C(N7C(C=CC=C8)=C8N(C9=CC=CC=C9)C%10=C7C=CC=C%10)C=C6)=O,,,,,,,0.36,,,,,PPZ-DPS,,
