,feature1,feature2,feature3
223,LUMO,Torsion,NBOC1
224,LUMO,Torsion,NBON1
225,LUMO,Torsion,NBOC2
226,LUMO,Torsion,NBOC3
227,LUMO,Torsion,NBOX
228,LUMO,Torsion,NBOC4
229,LUMO,Torsion,νCNssy
230,LUMO,Torsion,iCNssy
231,LUMO,Torsion,νCNsas
232,LUMO,Torsion,iCNsas
233,LUMO,B1,B5
234,LUMO,B1,BL
235,LUMO,B1,Volavg X
236,LUMO,B1,NBOC1
237,LUMO,B1,NBON1
238,LUMO,B1,NBOC2
239,LUMO,B1,NBOC3
240,LUMO,B1,NBOX
241,LUMO,B1,NBOC4
242,LUMO,B1,νCNssy
243,LUMO,B1,iCNssy
244,LUMO,B1,νCNsas
245,LUMO,B1,iCNsas
246,LUMO,B5,BL
247,LUMO,B5,Volavg X
248,LUMO,B5,NBOC1
249,LUMO,B5,NBON1
250,LUMO,B5,NBOC2
251,LUMO,B5,NBOC3
252,LUMO,B5,NBOX
253,LUMO,B5,NBOC4
254,LUMO,B5,νCNssy
255,LUMO,B5,iCNssy
256,LUMO,B5,νCNsas
257,LUMO,B5,iCNsas
258,LUMO,BL,Volavg X
259,LUMO,BL,NBOC1
260,LUMO,BL,NBON1
261,LUMO,BL,NBOC2
262,LUMO,BL,NBOC3
263,LUMO,BL,NBOX
264,LUMO,BL,NBOC4
265,LUMO,BL,νCNssy
266,LUMO,BL,iCNssy
267,LUMO,BL,νCNsas
268,LUMO,BL,iCNsas
269,LUMO,Volavg X,NBOC1
270,LUMO,Volavg X,NBON1
271,LUMO,Volavg X,NBOC2
272,LUMO,Volavg X,NBOC3
273,LUMO,Volavg X,NBOX
274,LUMO,Volavg X,NBOC4
275,LUMO,Volavg X,νCNssy
276,LUMO,Volavg X,iCNssy
277,LUMO,Volavg X,νCNsas
278,LUMO,Volavg X,iCNsas
279,LUMO,NBOC1,NBON1
280,LUMO,NBOC1,NBOC2
281,LUMO,NBOC1,NBOC3
282,LUMO,NBOC1,NBOX
283,LUMO,NBOC1,NBOC4
284,LUMO,NBOC1,νCNssy
285,LUMO,NBOC1,iCNssy
286,LUMO,NBOC1,νCNsas
287,LUMO,NBOC1,iCNsas
288,LUMO,NBON1,NBOC2
289,LUMO,NBON1,NBOC3
290,LUMO,NBON1,NBOX
291,LUMO,NBON1,NBOC4
292,LUMO,NBON1,νCNssy
293,LUMO,NBON1,iCNssy
294,LUMO,NBON1,νCNsas
295,LUMO,NBON1,iCNsas
296,LUMO,NBOC2,NBOC3
297,LUMO,NBOC2,NBOX
298,LUMO,NBOC2,NBOC4
299,LUMO,NBOC2,νCNssy
300,LUMO,NBOC2,iCNssy
301,LUMO,NBOC2,νCNsas
302,LUMO,NBOC2,iCNsas
303,LUMO,NBOC3,NBOX
304,LUMO,NBOC3,NBOC4
305,LUMO,NBOC3,νCNssy
306,LUMO,NBOC3,iCNssy
307,LUMO,NBOC3,νCNsas
308,LUMO,NBOC3,iCNsas
309,LUMO,NBOX,NBOC4
310,LUMO,NBOX,νCNssy
311,LUMO,NBOX,iCNssy
312,LUMO,NBOX,νCNsas
313,LUMO,NBOX,iCNsas
314,LUMO,NBOC4,νCNssy
315,LUMO,NBOC4,iCNssy
316,LUMO,NBOC4,νCNsas
317,LUMO,NBOC4,iCNsas
318,LUMO,νCNssy,iCNssy
319,LUMO,νCNssy,νCNsas
320,LUMO,νCNssy,iCNsas
321,LUMO,iCNssy,νCNsas
322,LUMO,iCNssy,iCNsas
323,LUMO,νCNsas,iCNsas
324,softness,Dipole,Pol
325,softness,Dipole,Torsion
326,softness,Dipole,B1
327,softness,Dipole,B5
328,softness,Dipole,BL
329,softness,Dipole,Volavg X
330,softness,Dipole,NBOC1
331,softness,Dipole,NBON1
332,softness,Dipole,NBOC2
333,softness,Dipole,NBOC3
334,softness,Dipole,NBOX
335,softness,Dipole,NBOC4
336,softness,Dipole,νCNssy
337,softness,Dipole,iCNssy
338,softness,Dipole,νCNsas
339,softness,Dipole,iCNsas
340,softness,Pol,Torsion
341,softness,Pol,B1
342,softness,Pol,B5
343,softness,Pol,BL
344,softness,Pol,Volavg X
345,softness,Pol,NBOC1
346,softness,Pol,NBON1
347,softness,Pol,NBOC2
348,softness,Pol,NBOC3
349,softness,Pol,NBOX
350,softness,Pol,NBOC4
351,softness,Pol,νCNssy
352,softness,Pol,iCNssy
353,softness,Pol,νCNsas
354,softness,Pol,iCNsas
355,softness,Torsion,B1
356,softness,Torsion,B5
357,softness,Torsion,BL
358,softness,Torsion,Volavg X
359,softness,Torsion,NBOC1
360,softness,Torsion,NBON1
361,softness,Torsion,NBOC2
362,softness,Torsion,NBOC3
363,softness,Torsion,NBOX
364,softness,Torsion,NBOC4
365,softness,Torsion,νCNssy
366,softness,Torsion,iCNssy
367,softness,Torsion,νCNsas
368,softness,Torsion,iCNsas
369,softness,B1,B5
370,softness,B1,BL
371,softness,B1,Volavg X
372,softness,B1,NBOC1
373,softness,B1,NBON1
374,softness,B1,NBOC2
375,softness,B1,NBOC3
376,softness,B1,NBOX
377,softness,B1,NBOC4
378,softness,B1,νCNssy
379,softness,B1,iCNssy
380,softness,B1,νCNsas
381,softness,B1,iCNsas
382,softness,B5,BL
383,softness,B5,Volavg X
384,softness,B5,NBOC1
385,softness,B5,NBON1
386,softness,B5,NBOC2
387,softness,B5,NBOC3
388,softness,B5,NBOX
389,softness,B5,NBOC4
390,softness,B5,νCNssy
391,softness,B5,iCNssy
392,softness,B5,νCNsas
393,softness,B5,iCNsas
394,softness,BL,Volavg X
395,softness,BL,NBOC1
396,softness,BL,NBON1
397,softness,BL,NBOC2
398,softness,BL,NBOC3
399,softness,BL,NBOX
400,softness,BL,NBOC4
401,softness,BL,νCNssy
402,softness,BL,iCNssy
403,softness,BL,νCNsas
404,softness,BL,iCNsas
405,softness,Volavg X,NBOC1
406,softness,Volavg X,NBON1
407,softness,Volavg X,NBOC2
408,softness,Volavg X,NBOC3
409,softness,Volavg X,NBOX
410,softness,Volavg X,NBOC4
411,softness,Volavg X,νCNssy
412,softness,Volavg X,iCNssy
413,softness,Volavg X,νCNsas
414,softness,Volavg X,iCNsas
415,softness,NBOC1,NBON1
416,softness,NBOC1,NBOC2
417,softness,NBOC1,NBOC3
418,softness,NBOC1,NBOX
419,softness,NBOC1,NBOC4
420,softness,NBOC1,νCNssy
421,softness,NBOC1,iCNssy
422,softness,NBOC1,νCNsas
423,softness,NBOC1,iCNsas
424,softness,NBON1,NBOC2
425,softness,NBON1,NBOC3
426,softness,NBON1,NBOX
427,softness,NBON1,NBOC4
428,softness,NBON1,νCNssy
429,softness,NBON1,iCNssy
430,softness,NBON1,νCNsas
431,softness,NBON1,iCNsas
432,softness,NBOC2,NBOC3
433,softness,NBOC2,NBOX
434,softness,NBOC2,NBOC4
435,softness,NBOC2,νCNssy
436,softness,NBOC2,iCNssy
437,softness,NBOC2,νCNsas
438,softness,NBOC2,iCNsas
439,softness,NBOC3,NBOX
440,softness,NBOC3,NBOC4
441,softness,NBOC3,νCNssy
442,softness,NBOC3,iCNssy
443,softness,NBOC3,νCNsas
444,softness,NBOC3,iCNsas
445,softness,NBOX,NBOC4
446,softness,NBOX,νCNssy
447,softness,NBOX,iCNssy
448,softness,NBOX,νCNsas
449,softness,NBOX,iCNsas
450,softness,NBOC4,νCNssy
451,softness,NBOC4,iCNssy
452,softness,NBOC4,νCNsas
453,softness,NBOC4,iCNsas
454,softness,νCNssy,iCNssy
455,softness,νCNssy,νCNsas
456,softness,νCNssy,iCNsas
457,softness,iCNssy,νCNsas
458,softness,iCNssy,iCNsas
459,softness,νCNsas,iCNsas
460,Dipole,Pol,Torsion
461,Dipole,Pol,B1
462,Dipole,Pol,B5
463,Dipole,Pol,BL
464,Dipole,Pol,Volavg X
465,Dipole,Pol,NBOC1
466,Dipole,Pol,NBON1
467,Dipole,Pol,NBOC2
468,Dipole,Pol,NBOC3
469,Dipole,Pol,NBOX
470,Dipole,Pol,NBOC4
471,Dipole,Pol,νCNssy
472,Dipole,Pol,iCNssy
473,Dipole,Pol,νCNsas
474,Dipole,Pol,iCNsas
475,Dipole,Torsion,B1
476,Dipole,Torsion,B5
477,Dipole,Torsion,BL
478,Dipole,Torsion,Volavg X
479,Dipole,Torsion,NBOC1
480,Dipole,Torsion,NBON1
481,Dipole,Torsion,NBOC2
482,Dipole,Torsion,NBOC3
483,Dipole,Torsion,NBOX
484,Dipole,Torsion,NBOC4
485,Dipole,Torsion,νCNssy
486,Dipole,Torsion,iCNssy
487,Dipole,Torsion,νCNsas
488,Dipole,Torsion,iCNsas
489,Dipole,B1,B5
490,Dipole,B1,BL
491,Dipole,B1,Volavg X
492,Dipole,B1,NBOC1
493,Dipole,B1,NBON1
494,Dipole,B1,NBOC2
495,Dipole,B1,NBOC3
496,Dipole,B1,NBOX
497,Dipole,B1,NBOC4
498,Dipole,B1,νCNssy
499,Dipole,B1,iCNssy
500,Dipole,B1,νCNsas
501,Dipole,B1,iCNsas
502,Dipole,B5,BL
503,Dipole,B5,Volavg X
504,Dipole,B5,NBOC1
505,Dipole,B5,NBON1
506,Dipole,B5,NBOC2
507,Dipole,B5,NBOC3
508,Dipole,B5,NBOX
509,Dipole,B5,NBOC4
510,Dipole,B5,νCNssy
511,Dipole,B5,iCNssy
512,Dipole,B5,νCNsas
513,Dipole,B5,iCNsas
514,Dipole,BL,Volavg X
515,Dipole,BL,NBOC1
516,Dipole,BL,NBON1
517,Dipole,BL,NBOC2
518,Dipole,BL,NBOC3
519,Dipole,BL,NBOX
520,Dipole,BL,NBOC4
521,Dipole,BL,νCNssy
522,Dipole,BL,iCNssy
523,Dipole,BL,νCNsas
524,Dipole,BL,iCNsas
525,Dipole,Volavg X,NBOC1
526,Dipole,Volavg X,NBON1
527,Dipole,Volavg X,NBOC2
528,Dipole,Volavg X,NBOC3
529,Dipole,Volavg X,NBOX
530,Dipole,Volavg X,NBOC4
531,Dipole,Volavg X,νCNssy
532,Dipole,Volavg X,iCNssy
533,Dipole,Volavg X,νCNsas
534,Dipole,Volavg X,iCNsas
535,Dipole,NBOC1,NBON1
536,Dipole,NBOC1,NBOC2
537,Dipole,NBOC1,NBOC3
538,Dipole,NBOC1,NBOX
539,Dipole,NBOC1,NBOC4
540,Dipole,NBOC1,νCNssy
541,Dipole,NBOC1,iCNssy
542,Dipole,NBOC1,νCNsas
543,Dipole,NBOC1,iCNsas
544,Dipole,NBON1,NBOC2
545,Dipole,NBON1,NBOC3
546,Dipole,NBON1,NBOX
547,Dipole,NBON1,NBOC4
548,Dipole,NBON1,νCNssy
549,Dipole,NBON1,iCNssy
550,Dipole,NBON1,νCNsas
551,Dipole,NBON1,iCNsas
552,Dipole,NBOC2,NBOC3
553,Dipole,NBOC2,NBOX
554,Dipole,NBOC2,NBOC4
555,Dipole,NBOC2,νCNssy
556,Dipole,NBOC2,iCNssy
557,Dipole,NBOC2,νCNsas
558,Dipole,NBOC2,iCNsas
559,Dipole,NBOC3,NBOX
560,Dipole,NBOC3,NBOC4
561,Dipole,NBOC3,νCNssy
562,Dipole,NBOC3,iCNssy
563,Dipole,NBOC3,νCNsas
564,Dipole,NBOC3,iCNsas
565,Dipole,NBOX,NBOC4
566,Dipole,NBOX,νCNssy
567,Dipole,NBOX,iCNssy
568,Dipole,NBOX,νCNsas
569,Dipole,NBOX,iCNsas
570,Dipole,NBOC4,νCNssy
571,Dipole,NBOC4,iCNssy
572,Dipole,NBOC4,νCNsas
573,Dipole,NBOC4,iCNsas
574,Dipole,νCNssy,iCNssy
575,Dipole,νCNssy,νCNsas
576,Dipole,νCNssy,iCNsas
577,Dipole,iCNssy,νCNsas
578,Dipole,iCNssy,iCNsas
579,Dipole,νCNsas,iCNsas
580,Pol,Torsion,B1
581,Pol,Torsion,B5
582,Pol,Torsion,BL
583,Pol,Torsion,Volavg X
584,Pol,Torsion,NBOC1
585,Pol,Torsion,NBON1
586,Pol,Torsion,NBOC2
587,Pol,Torsion,NBOC3
588,Pol,Torsion,NBOX
589,Pol,Torsion,NBOC4
590,Pol,Torsion,νCNssy
591,Pol,Torsion,iCNssy
592,Pol,Torsion,νCNsas
593,Pol,Torsion,iCNsas
594,Pol,B1,B5
595,Pol,B1,BL
596,Pol,B1,Volavg X
597,Pol,B1,NBOC1
598,Pol,B1,NBON1
599,Pol,B1,NBOC2
600,Pol,B1,NBOC3
601,Pol,B1,NBOX
602,Pol,B1,NBOC4
603,Pol,B1,νCNssy
604,Pol,B1,iCNssy
605,Pol,B1,νCNsas
606,Pol,B1,iCNsas
607,Pol,B5,BL
608,Pol,B5,Volavg X
609,Pol,B5,NBOC1
610,Pol,B5,NBON1
611,Pol,B5,NBOC2
612,Pol,B5,NBOC3
613,Pol,B5,NBOX
614,Pol,B5,NBOC4
615,Pol,B5,νCNssy
616,Pol,B5,iCNssy
617,Pol,B5,νCNsas
618,Pol,B5,iCNsas
619,Pol,BL,Volavg X
620,Pol,BL,NBOC1
621,Pol,BL,NBON1
622,Pol,BL,NBOC2
623,Pol,BL,NBOC3
624,Pol,BL,NBOX
625,Pol,BL,NBOC4
626,Pol,BL,νCNssy
627,Pol,BL,iCNssy
628,Pol,BL,νCNsas
629,Pol,BL,iCNsas
630,Pol,Volavg X,NBOC1
631,Pol,Volavg X,NBON1
632,Pol,Volavg X,NBOC2
633,Pol,Volavg X,NBOC3
