,UMAP1,UMAP2
329,-10.79819,14.806475
330,-10.821456,14.794295
331,-10.835612,14.789463
332,-10.887987,14.760126
333,-10.934276,14.73293
334,-10.9449415,14.730692
335,-10.9935665,14.696363
336,-11.006438,14.688156
337,-11.069826,14.6571455
338,-11.105138,14.632297
339,-11.162336,14.589313
340,-11.193786,14.574507
341,-11.194909,14.56937
342,-11.225246,14.548039
343,-11.217622,14.555108
344,-11.210111,14.560467
345,-11.255977,14.521025
346,-11.25936,14.523413
347,-11.350766,14.444339
348,-11.292997,14.496933
349,-11.347526,14.448049
350,-11.830789,14.058809
351,-11.859272,14.027409
352,-11.84338,14.049085
353,-11.848962,14.040971
354,-11.864264,14.028906
355,-11.873517,14.013815
356,-11.890222,13.993951
357,-11.97529,13.898464
358,-11.940853,13.94053
359,-11.934051,13.945125
360,-11.9599285,13.916715
361,-11.959575,13.917344
362,-11.982309,13.892254
363,-11.989913,13.88167
364,-12.002355,13.863175
365,-12.073257,13.817501
366,-11.998171,13.867602
367,-12.010809,13.843356
368,-12.0513315,13.799473
369,-12.03919,13.79506
370,-12.080544,13.739806
371,-12.076324,13.739698
372,-12.07152,13.762263
373,-12.084175,13.724476
374,-12.076292,13.735651
375,-12.09684,13.718033
376,-12.078542,13.719577
377,-12.125511,13.672267
378,-12.174342,13.539925
379,-12.1985,13.487201
380,-12.1649475,13.529818
381,-12.18857,13.491903
382,-12.1948,13.483278
383,-12.19494,13.487312
384,-12.185452,13.467198
385,-12.229556,13.431134
386,-12.203903,13.433822
387,-12.21339,13.411589
388,-12.204672,13.439967
392,-12.249634,13.286639
393,-12.25393,13.258225
394,-12.245451,13.258174
395,-12.276378,13.199939
396,-12.27286,13.126366
397,-12.278883,13.087173
398,-12.274519,13.107963
399,-12.293031,12.973603
400,-12.292329,12.923403
401,-12.2962,12.961893
402,-12.294858,12.910947
403,-12.291818,12.957433
404,-12.287696,12.956238
405,-12.29163,12.908579
406,-12.286379,12.901306
407,-12.291362,12.868248
408,-12.294904,12.923806
409,-12.2764635,12.8600445
410,-12.280592,12.892541
411,-12.287267,12.851321
412,-12.292699,12.858643
413,-12.303688,12.821597
414,-12.29015,12.847408
415,-12.287701,12.770911
416,-12.24859,12.775227
417,-12.287962,12.742457
418,-12.264228,12.686555
419,-12.309991,12.690295
420,-12.291693,12.70388
421,-12.285621,12.689111
422,-12.277027,12.711874
423,-12.285778,12.67185
424,-12.286386,12.68695
425,-12.259724,12.545918
426,-12.255374,12.527289
427,-12.248443,12.49527
428,-12.248709,12.503891
429,-12.245474,12.504764
430,-12.256037,12.533497
431,-12.232914,12.442957
432,-12.237787,12.422274
433,-12.230548,12.405077
434,-12.209364,12.376261
435,-12.224448,12.409739
436,-12.225267,12.398518
437,-12.207475,12.37666
438,-12.20114,12.353109
439,-12.202636,12.361267
440,-12.1941395,12.337887
441,-12.199824,12.357333
442,-12.192004,12.351032
443,-12.185004,12.333416
444,-11.759418,11.126711
445,-11.765512,11.131062
446,-11.756207,11.125595
447,-11.7557535,11.11773
448,-11.748453,11.108432
449,-11.743908,11.102239
450,-11.722621,11.079505
451,-11.749707,11.107982
452,-11.692025,11.040043
453,-11.67568,11.027038
454,-11.683369,11.03631
455,-11.670931,11.014985
456,-11.596142,10.92948
457,-11.599546,10.93106
458,-11.50975,10.824772
459,-11.539127,10.853346
460,-11.533333,10.846608
461,-11.509925,10.819537
462,-11.526891,10.837402
463,-11.513442,10.822837
464,-11.496314,10.804236
465,-11.476463,10.7871065
466,-11.490615,10.799335
467,-11.47093,10.780823
468,-11.483583,10.791609
469,-11.441282,10.751501
470,-11.470426,10.7820215
471,-11.460198,10.770675
472,-11.417682,10.733085
473,-11.374069,10.697469
474,-11.134485,10.49228
475,-11.112034,10.476005
476,-11.12256,10.486574
477,-11.079368,10.446965
478,-11.072714,10.443891
479,-11.066303,10.440609
480,-11.054608,10.432725
481,-11.040808,10.421497
482,-11.006262,10.395882
483,-10.955962,10.367411
484,-10.938213,10.359856
485,-10.925934,10.352287
486,-10.875367,10.322825
487,-10.872701,10.322765
488,-10.816465,10.29384
489,-10.831947,10.300817
490,-10.760818,10.265546
491,-10.777496,10.277005
492,-10.711534,10.240163
493,-10.653574,10.210228
494,-10.651022,10.210222
495,-10.604111,10.1851635
496,-10.4760475,10.126018
497,-10.509316,10.146346
498,-10.501687,10.143837
499,-10.4744425,10.144754
500,-10.41862,10.119405
501,-10.3781595,10.099796
502,-10.375574,10.1135845
503,-10.296872,10.0730915
504,-10.24104,10.059184
505,-10.226313,10.051755
506,-10.187282,10.045859
507,-10.162728,10.035201
508,-10.07708,10.015201
509,-10.049303,10.001876
510,-10.016699,10.003533
